item_id,item_name,stock,price
1,ball,654,60.11
2,run,759,141.14
3,hotel,228,74.07
4,high,104,339.97
5,act,913,274.96
6,own,604,213.85
7,style,30,51.38
8,security,238,255.15
9,modern,27,282.82
10,individual,733,326.69
11,quite,558,212.66
12,yard,459,296.69
13,box,828,435.3
14,under,777,403.88
15,consumer,714,214.19
16,smile,284,81.96
17,season,980,382.93
18,wish,104,50.91
19,occur,99,182.69
20,traditional,352,303.84
21,student,826,26.51
22,eye,470,270.43
23,whole,996,461.54
24,use,80,278.26
25,enjoy,849,316.18
26,true,906,431.54
27,message,591,100.18
28,discuss,71,27.68
29,chair,233,387.67
30,break,81,428.38
31,source,887,55.0
32,four,284,229.44
33,me,854,185.59
34,with,379,180.86
35,attack,686,137.15
36,it,959,343.36
37,case,73,306.52
38,capital,175,269.4
39,later,250,85.88
40,others,388,138.62
41,possible,947,321.8
42,road,570,113.71
43,never,332,422.21
44,each,794,32.69
45,eat,841,20.89
46,through,323,203.58
47,will,67,109.44
48,require,965,285.75
49,language,735,160.77
50,student,671,252.12
51,together,905,457.7
52,any,469,75.72
53,myself,142,127.08
54,worker,574,271.79
55,worker,764,294.37
56,various,919,293.85
57,event,370,113.56
58,room,141,257.22
59,serious,93,379.11
60,successful,881,59.28
61,tough,642,84.19
62,dog,696,213.97
63,book,65,195.46
64,mission,610,498.08
65,security,541,129.45
66,art,566,431.09
67,early,11,341.74
68,follow,117,342.45
69,if,549,376.68
70,human,787,322.28
71,front,114,150.28
72,score,161,229.59
73,center,976,362.44
74,work,736,135.38
75,win,512,382.17
76,ability,519,456.75
77,create,891,314.52
78,pass,861,321.28
79,information,623,103.46
80,simply,382,382.44
81,best,552,476.98
82,market,944,267.53
83,perform,0,301.48
84,Congress,500,14.64
85,risk,951,184.68
86,many,851,404.35
87,debate,245,33.67
88,trouble,899,285.84
89,manage,80,47.4
90,black,497,408.93
91,seek,778,268.69
92,response,128,68.55
93,class,486,473.69
94,rock,169,136.2
95,store,893,305.26
96,step,987,109.84
97,eat,552,378.86
98,war,706,104.57
99,policy,319,202.5
100,under,687,326.69
101,call,448,450.31
102,rule,462,64.9
103,defense,230,36.69
104,alone,21,296.21
105,fear,235,296.28
106,either,7,40.14
107,bad,646,34.14
108,sell,69,453.18
109,back,880,168.56
110,test,526,122.81
111,card,685,245.28
112,coach,552,70.49
113,provide,957,441.78
114,space,590,238.97
115,pattern,803,239.12
116,candidate,416,99.25
117,whatever,99,331.2
118,serve,362,214.67
119,more,478,432.6
120,form,55,338.32
121,fish,661,53.72
122,last,412,365.47
123,protect,819,431.53
124,nothing,254,99.84
125,with,549,227.06
126,energy,432,95.83
127,let,473,128.65
128,though,945,42.32
129,throughout,827,431.37
130,help,563,53.46
131,task,667,499.64
132,camera,856,12.31
133,gas,95,463.55
134,sing,869,122.01
135,receive,416,245.39
136,drug,218,433.0
137,market,924,34.02
138,let,388,6.07
139,main,399,136.28
140,attention,802,393.64
141,watch,292,214.39
142,night,980,366.6
143,decade,802,280.11
144,whole,735,245.9
145,senior,194,151.87
146,beat,991,33.95
147,include,753,273.39
148,sister,765,160.23
149,explain,51,294.17
150,although,514,460.1
151,reality,543,82.93
152,method,983,256.38
153,sell,871,96.98
154,technology,609,38.64
155,far,882,121.43
156,first,122,471.09
157,respond,583,126.88
158,north,608,24.67
159,try,83,212.52
160,issue,597,284.79
161,sister,323,467.68
162,church,209,336.51
163,seek,321,123.15
164,section,405,69.78
165,meet,660,153.5
166,accept,323,464.86
167,speak,958,40.91
168,will,469,312.47
169,while,576,498.07
170,usually,75,271.13
171,though,518,136.27
172,beat,955,177.76
173,project,70,440.24
174,charge,378,146.07
175,laugh,448,417.7
176,situation,720,154.75
177,very,826,328.72
178,without,8,335.59
179,send,567,153.19
180,on,679,56.28
181,product,899,71.47
182,American,118,445.41
183,inside,760,278.85
184,born,278,144.47
185,edge,215,360.22
186,draw,208,345.31
187,indeed,873,135.67
188,together,500,129.31
189,voice,929,423.82
190,product,94,318.97
191,type,849,141.96
192,history,3,170.11
193,reach,133,320.37
194,heart,268,84.98
195,amount,452,278.08
196,meeting,437,282.65
197,hear,114,42.25
198,trip,904,347.05
199,attack,152,275.07
200,receive,854,187.76
201,join,565,78.31
202,smile,130,25.71
203,spring,373,450.0
204,white,815,486.24
205,area,40,449.97
206,thought,215,342.62
207,finally,682,55.88
208,dream,798,282.14
209,image,895,206.16
210,choice,635,375.99
211,four,947,465.29
212,director,885,85.44
213,stuff,819,406.33
214,could,902,209.09
215,move,183,369.6
216,design,340,392.28
217,child,421,402.11
218,hot,884,368.85
219,lose,254,137.07
220,tonight,806,352.13
221,arrive,391,436.72
222,charge,879,237.99
223,decade,204,409.21
224,team,471,178.08
225,reason,840,398.7
226,large,233,115.35
227,performance,675,100.6
228,why,336,142.91
229,sea,71,483.61
230,concern,285,178.82
231,data,521,202.84
232,officer,863,270.43
233,future,961,18.66
234,per,898,485.35
235,person,182,292.39
236,base,271,23.94
237,item,610,220.11
238,manage,746,394.28
239,city,446,305.07
240,over,523,62.24
241,task,921,290.41
242,physical,260,26.97
243,wonder,446,5.84
244,music,947,404.22
245,pattern,703,361.12
246,national,759,369.83
247,green,201,185.29
248,staff,71,474.69
249,why,942,168.45
250,machine,321,333.38
251,single,127,361.28
252,her,307,256.03
253,though,682,207.15
254,how,412,350.12
255,car,567,68.01
256,picture,430,334.14
257,child,388,340.27
258,meet,924,91.14
259,challenge,582,153.97
260,can,561,417.69
261,available,311,147.02
262,authority,440,393.95
263,during,621,329.08
264,at,476,223.68
265,ever,691,110.78
266,fly,484,397.9
267,today,982,399.03
268,never,173,331.13
269,score,290,260.15
270,another,648,311.53
271,exist,95,410.12
272,size,769,121.26
273,computer,317,116.2
274,interest,203,77.94
275,during,47,126.2
276,face,486,307.58
277,sure,786,41.05
278,open,424,443.64
279,war,589,101.25
280,ball,713,195.07
281,five,409,125.77
282,writer,671,345.37
283,cause,914,376.73
284,bit,788,443.31
285,both,797,215.45
286,through,180,403.03
287,enjoy,712,261.39
288,expert,51,280.92
289,more,939,424.93
290,down,467,71.0
291,easy,475,335.45
292,plant,572,299.75
293,factor,972,378.85
294,spring,453,308.26
295,identify,736,446.55
296,wind,436,416.13
297,bill,561,225.73
298,range,162,373.11
299,positive,486,227.78
300,away,769,127.38
301,thought,652,142.27
302,case,796,263.04
303,no,641,123.43
304,shake,450,43.35
305,third,292,121.07
306,yeah,343,163.26
307,teacher,553,44.89
308,possible,154,119.47
309,race,710,80.64
310,old,219,36.79
311,sport,417,168.79
312,prevent,477,210.81
313,back,211,417.28
314,receive,398,452.9
315,red,598,473.3
316,thank,20,429.08
317,out,783,289.97
318,suffer,488,7.92
319,term,360,152.81
320,increase,399,427.46
321,foreign,976,418.69
322,risk,551,375.02
323,reflect,559,400.93
324,relationship,919,114.17
325,natural,224,140.1
326,bag,497,19.37
327,culture,344,336.09
328,able,817,205.14
329,article,169,421.05
330,a,941,68.18
331,subject,637,269.39
332,daughter,928,200.04
333,direction,577,333.18
334,offer,85,323.16
335,outside,138,434.09
336,draw,186,29.89
337,responsibility,388,167.04
338,check,465,166.79
339,among,779,440.42
340,interview,284,377.24
341,answer,851,213.67
342,total,854,45.54
343,next,19,375.77
344,tonight,53,499.95
345,may,358,115.99
346,student,70,391.71
347,goal,667,24.93
348,tend,31,475.06
349,contain,204,420.42
350,discuss,636,80.43
351,dream,129,239.41
352,but,117,284.16
353,then,223,235.19
354,follow,262,384.61
355,animal,171,304.92
356,music,986,375.22
357,cell,117,390.01
358,parent,167,482.54
359,thing,110,291.45
360,arm,951,159.42
361,ball,693,454.47
362,parent,384,201.34
363,worker,732,103.17
364,sort,606,346.85
365,movement,642,125.21
366,region,713,387.38
367,thousand,870,343.71
368,budget,824,64.92
369,still,579,392.4
370,father,355,268.71
371,today,677,188.43
372,international,518,325.53
373,reason,12,425.54
374,thousand,842,247.65
375,impact,443,480.59
376,rise,650,446.33
377,garden,470,355.12
378,finally,445,92.19
379,necessary,534,482.91
380,before,276,309.88
381,similar,941,271.4
382,perform,495,235.11
383,message,845,366.86
384,project,274,164.54
385,hospital,251,416.21
386,part,88,143.07
387,worker,461,125.71
388,population,475,287.08
389,discover,684,192.6
390,near,29,249.68
391,future,332,95.01
392,smile,217,180.64
393,set,264,173.47
394,win,901,300.1
395,wear,901,141.75
396,blood,10,260.73
397,language,195,47.38
398,continue,737,206.18
399,myself,568,380.29
400,why,707,240.67
401,husband,728,247.96
402,build,811,13.54
403,than,301,114.69
404,girl,708,125.44
405,work,679,292.87
406,western,484,278.97
407,space,352,215.62
408,this,763,277.44
409,born,360,352.91
410,behind,277,156.78
411,specific,236,64.72
412,change,197,161.2
413,sell,760,270.25
414,shake,780,346.63
415,company,196,112.11
416,hard,495,141.87
417,blue,603,488.42
418,also,537,300.41
419,some,102,417.15
420,get,303,117.6
421,house,183,154.62
422,officer,725,269.4
423,whether,280,27.53
424,section,55,278.91
425,glass,714,472.32
426,Mrs,653,434.89
427,middle,502,55.78
428,office,12,289.16
429,edge,480,241.96
430,door,348,96.26
431,her,52,129.98
432,than,882,241.48
433,too,841,37.35
434,college,503,41.67
435,network,644,344.79
436,system,155,78.85
437,according,576,474.82
438,executive,87,496.99
439,when,121,281.25
440,how,426,305.13
441,hit,809,311.12
442,score,794,263.67
443,reflect,461,454.71
444,magazine,304,430.78
445,help,439,156.16
446,claim,635,34.81
447,building,983,371.34
448,single,970,382.55
449,population,640,109.46
450,return,676,45.19
451,when,245,91.04
452,thank,76,82.48
453,rock,418,228.0
454,pretty,608,237.61
455,market,33,119.58
456,develop,723,144.95
457,to,880,229.75
458,nor,703,120.54
459,executive,270,394.97
460,campaign,640,296.95
461,else,823,467.17
462,campaign,435,61.81
463,particularly,230,325.58
464,leg,930,136.49
465,house,145,40.35
466,common,169,397.35
467,prepare,609,375.73
468,size,582,460.99
469,arm,449,66.56
470,lead,705,155.53
471,manager,412,471.62
472,officer,512,272.29
473,model,448,44.82
474,small,40,445.26
475,wait,752,164.55
476,ago,256,17.8
477,brother,234,481.15
478,necessary,856,430.96
479,believe,601,475.64
480,white,783,337.78
481,tonight,275,290.24
482,station,781,379.35
483,tree,481,261.89
484,way,452,458.46
485,thus,185,498.49
486,staff,446,319.22
487,might,503,484.68
488,something,481,177.24
489,nice,341,163.92
490,note,107,429.58
491,peace,337,208.76
492,hot,507,147.67
493,three,967,203.22
494,decide,778,277.3
495,among,465,48.59
496,small,258,165.02
497,adult,993,387.41
498,someone,885,259.73
499,newspaper,1,330.54
500,bag,555,233.68
